Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-01-01,1103.4735107421875,1123.9946934016793,1099.0522352118023,1118.7809731207883,1351760
2018-01-02,1097.4671630859375,1113.4837717079931,1092.8790895765228,1109.4795940948625,1920290
2018-01-03,1100.574462890625,1113.2334148785474,1097.4671063586861,1097.8008047809428,1257120
2018-01-04,1108.269775390625,1110.313512348346,1101.1373676181943,1105.308342495536,913082
2018-01-05,1121.6590576171875,1125.9551840755162,1105.3088489720756,1105.3088489720756,1153706
2018-01-08,1132.1695556640625,1137.3625016565497,1118.5931117958694,1126.1633916408275,1242220
2018-01-09,1129.917236328125,1134.9224068101985,1116.3824415156082,1132.4198215691617,2149396
2018-01-10,1170.625732421875,1174.5464076812523,1123.9315918879577,1130.751175860751,3365850
2018-01-11,1163.91064453125,1177.0074660955331,1160.4487147046298,1172.044046275869,2520744
2018-01-12,1158.008544921875,1169.958346120667,1143.076435860202,1169.958346120667,3360314
2018-01-15,1145.3916015625,1171.2098986968913,1140.7826533543148,1158.34239878565,1457214
2018-01-16,1189.0823974609375,1193.586968802826,1147.2474996443016,1149.5206605554367,4267752
2018-01-17,1204.97412109375,1220.010510313451,1193.795884769912,1197.0701417434545,4280806
2018-01-18,1217.1739501953125,1223.347013795008,1196.256550510915,1208.3315032267774,2209478
2018-01-19,1234.316650390625,1243.7847432613005,1211.1051134498061,1222.325097282388,1820000
2018-01-22,1302.925048828125,1310.5760540778074,1221.6490540294722,1237.9544315473192,4367110
2018-01-23,1296.904541015625,1313.7743749552815,1291.9084269151351,1302.3187416863973,3239610
2018-01-24,1327.2576904296875,1362.5650815029865,1288.8145479516386,1291.8875251265806,5621538
2018-01-25,1304.8690185546875,1329.4316028262447,1288.1246321815677,1327.424767016059,3833844
2018-01-29,1337.39599609375,1348.3289168699996,1305.2660088273299,1309.1959809655723,3141060
2018-01-30,1318.1644287109375,1339.4659213918774,1314.3388749295625,1329.5154395119619,1574758
2018-01-31,1301.2314453125,1316.9723598322146,1295.4827564402167,1311.5372358075103,3043214
2018-02-01,1312.206298828125,1333.6959035933148,1291.3855712040443,1306.1021952431083,2400630
2018-02-02,1318.4981689453125,1333.6956508107314,1297.510251531883,1304.4296020468596,2456490
2018-02-05,1297.405517578125,1332.8592598350351,1286.389003696821,1300.24852512138,2757742
2018-02-06,1253.1097412109375,1286.5148111746562,1247.9881816714148,1258.440343996971,2657306
2018-02-07,1235.4664306640625,1267.2200773140194,1232.2889326965444,1265.5477314515133,2180324
2018-02-08,1243.4730224609375,1265.7989059384822,1237.1181271831324,1245.793423276086,2755004
2018-02-09,1242.427490234375,1251.7508385376605,1211.0500815660725,1233.3550346312952,2102458
2018-02-12,1240.587890625,1264.0216555631205,1235.6753750468736,1245.186841378991,1974562
2018-02-14,1217.3843994140625,1243.5774801404643,1209.3153088318486,1241.7170154643354,2847532
2018-02-15,1223.258544921875,1230.4286882601727,1214.5832492095412,1225.8088115748853,2465236
2018-02-16,1226.2685546875,1254.0922299853196,1222.066765203571,1222.066765203571,2515756
2018-02-19,1222.31787109375,1234.7350211400567,1210.4441519016618,1231.2648823814416,1568224
